rank,stadium,capacity,city,country,region,tenants,sports,image,location
275,Shizuoka Stadium,51349,Fukuroi,Japan,East Asia,"Júbilo Iwata, Shimizu S-Pulse",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.74342, 137.97068]"
276,İzmir Atatürk Stadium,51295,İzmir,Turkey,Western Asia,"Altay S.K., Göztepe,.",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.9462, 27.3457]"
277,Newlands Stadium,51100,Cape Town,South Africa,Africa,,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-33.970429, 18.4685]"
278,Dowdy–Ficklen Stadium,51000,"Greenville, North Carolina",United States,North America,East Carolina Pirates football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.5969715, -77.3650266]"
279,Ibrox Stadium,50987,Glasgow,United Kingdom,Europe,Rangers F.C.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[52.939201, -1.133401]"
280,Huntington Bank Stadium,50805,Minneapolis,United States,North America,Minnesota Golden Gophers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.828856, -87.634349]"
281,Hocine Aït Ahmed Stadium,50766,Tizi Ouzou,Algeria,Africa,JS Kabylie,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.60481, 3.98227]"
282,Strawberry Arena,50653,Solna,Sweden,Europe,"AIK, Sweden men's national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[57.5, 12.35]"
283,Estádio José Alvalade,50466,Lisbon,Portugal,Europe,Sporting Clube de Portugal,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.7624872, -9.1618615]"
284,Independence Stadium,50459,"Shreveport, Louisiana",United States,North America,Independence Bowl,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.4759385, -93.7919681]"
285,Coors Field,50445,"Denver, Colorado",United States,North America,Colorado Rockies,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.7547329, -104.9941287]"
286,Incheon Munhak Stadium,50256,Incheon,South Korea,East Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.43366, 126.68462]"
287,Stade Pierre-Mauroy,50186,Villeneuve-d'Ascq,France,Europe,Lille OSC,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[50.613354, 3.1319151]"
288,Ekana International Cricket Stadium,50100,Lucknow,India,South Asia,Lucknow Super Giants,Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[26.811516, 81.015269]"
289,Ajinomoto Stadium,50100,Chōfu,Japan,East Asia,"FC Tokyo, Tokyo Verdy",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.66433027, 139.527116898]"
290,David Booth Kansas Memorial Stadium,50071,"Lawrence, Kansas",United States,North America,Kansas Jayhawks football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.962946, -95.246315]"
291,King Baudouin Stadium,50024,Brussels,Belgium,Europe,Belgium national football team,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[50.8952712, 4.3333338]"
292,Brabourne Stadium,50000,Mumbai,India,South Asia,"Bombay Quadrangular, Rajasthan Royals",Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[18.93109, 72.825306]"
293,Japoma Stadium,50000,Douala,Cameroon,Africa,"Union Douala, New Star de Douala, Les Astres FC",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[4.0405339, 9.8198436]"
294,JSCA International Cricket Stadium,50000,Ranchi,India,South Asia,"India national cricket team, Jharkhand cricket team",Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[23.3089374, 85.2748036]"
295,Kozhikode Corporation EMS Stadium,50000,Kozhikode,India,South Asia,Gokulam Kerala,"Association football, Cricket",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[11.2550973, 75.7846875]"
296,Kim Il-sung Stadium,50000,Pyongyang,North Korea,East Asia,Pyongyang City Sports Group,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.0213846, 125.7527449]"
297,Charles Mopeli Stadium,50000,Phuthaditjhaba,South Africa,Africa,Free State Stars,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-28.5808, 28.8321]"
298,Eden Park,50000,Auckland,New Zealand,Oceania,"Auckland Blues, New Zealand national rugby union team, Auckland Aces, New Zealand national cricket team","Rugby union, cricket",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-36.8741619, 174.7449996]"
299,Edion Stadium Hiroshima,50000,Hiroshima,Japan,East Asia,Sanfrecce Hiroshima,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.440757241, 132.394324402]"
300,Nagai Stadium,50000,Osaka,Japan,East Asia,Cerezo Osaka,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.115946514, 140.031676603]"
301,Stade du 26 Mars,50000,Bamako,Mali,Africa,Stade Malien,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[12.6080413, -7.9204749]"
302,Stanford Stadium,50424,"Stanford, California",United States,North America,Stanford Cardinal football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.436164, -122.160491]"
303,Sultan Mizan Zainal Abidin Stadium,50000,Kuala Terengganu,Malaysia,Southeast Asia,Terengganu FC,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[4.709944, 103.402189]"
304,Pars Stadium,50000,Shiraz,Iran,Western Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.72634, 51.5206]"
305,Henan Provincial Stadium,50000,"Zhengzhou, Henan",China,East Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.8596, 108.727]"
306,Xinjiang Sports Centre,50000,"Ürümqi, Xinjiang",China,East Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.5, 85.5]"
307,Wenzhou Olympic Sports Center Stadium,50000,"Wenzhou, Zhejiang",China,East Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[27.99942, 120.66682]"
308,Estádio 11 de Novembro,50000,Luanda,Angola,Africa,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-8.969899, 13.2825654]"
309,Guangzhou University City Stadium,50000,"Guangzhou, Guangdong",China,East Asia,local football teams,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[23.11667, 113.25]"
310,Jiangxi Olympic Sports Center,50000,"Nanchang, Jiangxi",China,East Asia,local football teams,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.99934, 105.19994]"
311,Max-Morlock-Stadion,50000,Nuremberg,Germany,Europe,1. FC Nürnberg,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[49.4266185, 11.1257225]"
312,RheinEnergieStadion,50000,Cologne,Germany,Europe,1. FC Köln,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[50.9334619, 6.875141]"
313,Qingdao Youth Football Stadium,50000,"Qingdao, Shandong",China,East Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.06488, 120.38042]"
314,De Kuip,49850,Rotterdam,Netherlands,Europe,Feyenoord,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.0985009, 4.7627112]"
315,Fritz-Walter-Stadion,49780,Kaiserslautern,Germany,Europe,1. FC Kaiserslautern,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[49.4352744, 7.7759955]"
316,José Amalfitani Stadium,49540,Buenos Aires,Argentina,South America,"Club Atlético Vélez Sarsfield, Argentina national rugby union team, Jaguares","Association football, rugby union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-34.6353489, -58.5206805]"
317,Camille Chamoun Sports City Stadium,49500,Beirut,Lebanon,Western Asia,Lebanon national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.8670775, 35.4949918]"
318,Rajko Mitić Stadium,49450,Belgrade,Serbia,Europe,Red Star Belgrade,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.7846877, 20.4633298]"
319,Mestalla,49430,Valencia,Spain,Europe,Valencia CF,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.4704565, -0.3584887]"
320,JMA Wireless Dome,49250,"Syracuse, New York",United States,North America,"Syracuse Orange football, Syracuse Orange men's basketball, Syracuse Orange men's lacrosse, Syracuse Orange women's basketball","American football, basketball, lacrosse",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.0362274, -76.1362042]"
321,Miyagi Stadium,49133,Rifu,Japan,East Asia,Vegalta Sendai,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.335427415, 140.95054136]"
322,Globe Life Park in Arlington,49115,"Arlington, Texas",United States,North America,"Dallas Renegades, North Texas SC","American football, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.7502787, -97.0814469]"
323,Estádio Beira-Rio,49055,Porto Alegre,Brazil,South America,Sport Club Internacional,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-30.0659, -51.23485]"
324,Chase Field,49033,"Phoenix, Arizona",United States,North America,Arizona Diamondbacks,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.1568763, -117.3408272]"
325,Niedersachsenstadion,49000,Hanover,Germany,Europe,Hannover 96,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[52.493481, 13.425609]"
326,Queensland Sport and Athletics Centre,49000,Brisbane,Australia,Oceania,,"Rugby league, Athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-27.5605219, 153.0663322]"
327,Shaheed Veer Narayan Singh International Cricket Stadium,49000,Raipur,India,South Asia,"Chhattisgarh cricket team, Delhi Capitals",Cricket,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[21.2034676, 81.8239232]"
328,Oriole Park at Camden Yards,48876,Baltimore,United States,North America,Baltimore Orioles,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.2828724, -76.622609]"
329,Khalifa International Stadium,48496,Doha,Qatar,Western Asia,Qatar national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[25.2636431, 51.4468929]"
330,Jinnah Sports Stadium,48800,Islamabad,Pakistan,South Asia,Pakistan national football team,"Association football, cricket, hockey",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[31.83148, 71.55627]"
331,Parc des Princes,48712,Paris,France,Europe,Paris Saint-Germain,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[48.841934, 2.2515525]"
332,Estadio Nacional Julio Martínez Prádanos,48665,Santiago,Chile,South America,"Chile national football team, Club Universidad de Chile","Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-33.464433, -70.610587]"
333,Nelson Mandela Bay Stadium,48459,Port Elizabeth,South Africa,Africa,"Southern Kings, Eastern Province Elephants","Rugby union, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-33.9384478, 25.6019335]"
334,Ernst-Happel-Stadion,48500,Vienna,Austria,Europe,"Austria national football team, FK Austria Wien, SK Rapid Wien",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[48.2081543, 16.419914]"
335,Stadium of Light,48339,Sunderland,United Kingdom,Europe,Sunderland A.F.C.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[54.914295, -1.388329]"
336,Estadio Tomás Adolfo Ducó,48314,Buenos Aires,Argentina,South America,Club Atlético Huracán,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-34.6434766, -58.3964978]"
337,T-Mobile Park,48116,Seattle,United States,North America,Seattle Mariners,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[47.592126, -122.3336403]"
338,Estadio Akron,48071,Zapopan,Mexico,North America,Guadalajara,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[20.6825105, -103.4635194]"
339,Rajamangala Stadium,48000,Bangkok,Thailand,Southeast Asia,Thailand national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[12.83138585, 102.10961819]"
340,Harbin International Convention Exhibition and Sports Center,48000,Harbin,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.85849, 116.28632]"
341,Sydney Cricket Ground,48000,Sydney,Australia,Oceania,"Australia national cricket team, Sydney Roosters, New South Wales Blues (cricket), Sydney 6ers, Sydney Swans, Sydney FC","Cricket, Australian rules football, rugby league, Association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-33.8908818, 151.2240624]"
342,Estadio Malvinas Argentinas,48000,Mendoza,Argentina,South America,Ciudad de Mendoza,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-34.591862, -58.471717]"
343,Casa de Apostas Arena Fonte Nova,47915,Salvador,Brazil,South America,Esporte Clube Bahia,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-0.0124282, -51.1691771]"
344,Koshien Stadium,47757,Nishinomiya,Japan,East Asia,Hanshin Tigers,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.721151259, 135.361691836]"
345,Fisht Olympic Stadium,47659,Sochi,Russia,Europe,PFC Sochi,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[55.7158, 37.5536]"
346,Ahmad bin Ali Stadium,47343,Al Rayyan,Qatar,Western Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[25.329797, 51.3414059]"
347,Arena Corinthians,47252,São Paulo,Brazil,South America,Sport Club Corinthians Paulista,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-23.5463647, -46.4742934]"
348,Estadio Monumental David Arellano,47017,Santiago,Chile,South America,Colo-Colo,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-33.505692, -70.607393]"
349,Rice Stadium,47000,Houston,United States,North America,Rice Owls football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[29.7158174, -95.4093181]"
350,Estádio Olímpico Nilton Santos,46931,Rio de Janeiro,Brazil,South America,Botafogo,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-22.891564, -43.294811]"
351,Busch Stadium,46861,St. Louis,United States,North America,St. Louis Cardinals,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.6230505, -90.194243]"
352,Estadio Metropolitano Roberto Meléndez,46788,Barranquilla,Colombia,South America,"Colombia national football team, Atlético Junior",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[10.9618264, -74.7961967]"
353,Al Thumama Stadium,46781,Doha,Qatar,Western Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[25.2351804, 51.5321446]"
354,Education City Stadium,46155,Al Rayyan,Qatar,Western Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[25.3112321, 51.4254561]"
355,Peter Mokaba Stadium,46000,Polokwane,South Africa,Africa,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-23.9235674, 29.472329]"
356,Estádio Prudentão,45954,Presidente Prudente,Brazil,South America,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-22.0738369, -51.4720973]"
357,Stade Mohammed V,45891,Casablanca,Morocco,North Africa,"Wydad AC, Raja Casablanca, TAS de Casablanca, Morocco national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.5867608, -7.6448313]"
358,Tokyo Dome,45600,Tokyo,Japan,East Asia,Yomiuri Giants,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.705641991, 139.751890752]"
359,Volgograd Arena,45568,Volgograd,Russia,Europe,FC Rotor Volgograd,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[48.7362779, 44.5465233]"
360,Páirc Uí Chaoimh,45500,Cork,Ireland,Europe,Cork GAA,"Hurling, Gaelic football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.899296, -8.424091]"
361,Ramón Sánchez Pizjuán Stadium,45500,Seville,Spain,Europe,Sevilla FC,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.38421, -5.97069]"
362,Adrar Stadium,45480,Agadir,Morocco,Africa,Hassania Agadir,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[30.896699, -9.356601]"
363,Arena Pernambuco,45440,São Lourenço da Mata,Brazil,South America,Clube Náutico Capibaribe,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-8.0407644, -35.0091845]"
364,Arena MRV,45414,Belo Horizonte,Brazil,South America,Atlético Mineiro,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-15.2464873, -40.2468878]"
365,Lukoil Arena,45360,Moscow,Russia,Europe,FC Spartak Moscow,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.7636046, 55.0739188]"
